File      ,14-00-46.CSV,,,,,,,,,
Site Name      ,HUTHL-A,,,,,,,,,
Start,12/03/2024 14:00,,,,,,,,,
Stop,13/03/2024 09:31,,,,,,,,,
Pipe Material,Cast Iron,,,,,,,,,
Pipe O.D.     ,173,mm,,,,,,,,
Wall Thickness     ,8.5,mm,,,,,,,,
Pipe Liner,None,,,,,,,,,
Liner Thickness     ,0,mm,,,,,,,,
Fluid      ,Water,,,,,,,,,
Averaging,30,s,,,,,,,,
Interval,60,s,,,,,,,,
Records,1172,,,,,,,,,
FlowMin,0,,,,,,,,,
FlowMax,12.161,,,,,,,,,
AmplitudeMin,0,,,,,,,,,
AmplitudeMax,0.03,,,,,,,,,
Sound SpeedMin,0,,,,,,,,,
Sound SpeedMax,1444.522,,,,,,,,,
Errors,46,,,,,,,,,
Last Error,1,,,,,,,,,
                                                                                                      ,V01,5,100,2,6,8,9,21/07/2023 12:54,0,0
Date[Day/Month/Year] Time[Hour:Min:Secs],Flow[l/s],Sound Speed[m/s],+ve Totaliser[l],-ve Totaliser[l],,,,,,
28/11/2023 16:19,182.51,,,,,,,,,
28/11/2023 16:20,180.95,,,,,,,,,
28/11/2023 16:21,182.15,,,,,,,,,
28/11/2023 16:22,177.85,,,,,,,,,
28/11/2023 16:23,181.46,,,,,,,,,
28/11/2023 16:24,183.12,,,,,,,,,
28/11/2023 16:25,184.55,,,,,,,,,
28/11/2023 16:26,185.57,,,,,,,,,
28/11/2023 16:27,183.84,,,,,,,,,
28/11/2023 16:28,183.98,,,,,,,,,
28/11/2023 16:29,181.2,,,,,,,,,
28/11/2023 16:30,180.56,,,,,,,,,
28/11/2023 16:31,181.58,,,,,,,,,
28/11/2023 16:32,183.13,,,,,,,,,
28/11/2023 16:33,180.84,,,,,,,,,
28/11/2023 16:34,180.59,,,,,,,,,
28/11/2023 16:35,181.72,,,,,,,,,
28/11/2023 16:36,181.59,,,,,,,,,
28/11/2023 16:37,183.36,,,,,,,,,
28/11/2023 16:38,182.69,,,,,,,,,
28/11/2023 16:39,181.91,,,,,,,,,
28/11/2023 16:40,182.05,,,,,,,,,
28/11/2023 16:41,181.44,,,,,,,,,
28/11/2023 16:42,179.81,,,,,,,,,
28/11/2023 16:43,179.46,,,,,,,,,
28/11/2023 16:44,178.53,,,,,,,,,
28/11/2023 16:45,181.46,,,,,,,,,
28/11/2023 16:46,180.37,,,,,,,,,
28/11/2023 16:47,178.32,,,,,,,,,
28/11/2023 16:48,186.23,,,,,,,,,
28/11/2023 16:49,183.58,,,,,,,,,
28/11/2023 16:50,181.61,,,,,,,,,
28/11/2023 16:51,183.79,,,,,,,,,
28/11/2023 16:52,179.64,,,,,,,,,
28/11/2023 16:53,181.29,,,,,,,,,
28/11/2023 16:54,175.81,,,,,,,,,
28/11/2023 16:55,181.24,,,,,,,,,
